Player,Position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so,dp,stp,bg1,bg2,bg3,daw,esasha,esgshg,gwgshog,gwgshogdg,sta,stg,stg2,stp2,hb,netfow,shg2sha,stpgwg,tkagva,hat,hatshp,fight,ghht,ota,otp,bap,1s,2s,3s,fp,g_toi
"Matt Stajan",C,17,0.205,39,0,848,10.217,15,0,0,6,21,0,0.497,786,395,391,6,0.072,0,83,23,3,61,0,0,20,0,35,0,23,0.277,40,3,0,0,0,0,0,0,0,0,0.723,18.181,111,1.337,2,0,0,0,1509,0.1,60,2,32,1036.59,12.484,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,9,103,17,6,3,3,2,0,0,4,100,-4,2,5,1.3913,0,2,0,0,0,0,0,0,0,0,23,0
"Matt Tennyson",D,6,0.133,48,0,565,12.556,6,0,0,0,6,0,0,0,0,0,0,0,0,45,11,0,65,0,0,3,0,14,0,6,0.133,6,-13,0,0,0,0,0,0,0,0,0.8,18.356,7,0.156,0,0,0,0,826,0,36,0,11,585.62,12.993,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,100,6,0,0,0,0,0,0,0,113,0,0,0,1.0000,0,0,0,0,0,0,0,0,0,1,0,0
"Matthew Benning",D,12,0.19,64,0,943,14.968,10,0,0,2,12,1,0,0,0,0,3,0.048,0,63,50,0,116,1,0,12,0,29,0,15,0.238,29,8,14,0.222,2,0,0,1,3,0,1.111,22.603,28,0.444,0,0,0,0,1424,0.043,70,0,8,1031.69,16.364,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,1,1,3,188,10,2,0,0,2,1,1,3,180,0,0,3,0.1600,0,0,1,0,0,0,0,0,0,0,0,0
"Matthew Carle",D,1,0.167,5,0,72,12,1,0,0,0,1,0,0,0,0,0,0,0,0,6,4,0,3,0,0,0,0,1,0,1,0.167,0,-1,0,0,0,0,0,0,0,0,0.333,17.833,2,0.333,0,0,0,0,107,0,2,0,0,66.05,10.913,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,8,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Nieto",LW,6,0.102,34,1,722,12.237,5,0,0,7,12,1,0.333,6,4,2,7,0.119,0,59,18,1,41,0,0,4,0,24,0,13,0.22,8,-12,21,0.356,0,0,0,0,0,0,1.441,20.559,68,1.153,1,0,0,0,1213,0.082,85,1,28,870.57,14.744,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,63,6,7,1,1,1,0,0,2,75,-2,1,2,1.5556,0,1,0,0,0,0,0,0,1,1,13,0
"Matthew Peca",C,1,0.1,2,0,100,10,1,0,0,1,2,0,0.444,72,40,32,1,0.1,0,10,2,0,9,0,0,1,0,8,0,2,0.2,2,-3,7,0.7,0,0,0,0,0,0,0.9,15.9,0,0,0,0,0,0,159,0.111,9,0,0,101.4,10.075,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,0,0,0,0,0,0,11,-8,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,2,0
"Matthew Tkachuk",LW,35,0.449,24,1,944,12.103,25,0,0,10,35,0,0.348,23,15,8,13,0.167,0,78,27,2,69,3,0,35,2,50,0,48,0.615,109,13,120,1.538,10,0,0,3,13,0,1.872,19.282,0,0,0,0,0,0,1504,0.089,146,0,40,1129.01,14.474,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,5,15,106,25,10,2,2,10,3,3,13,93,-7,0,15,1.4815,0,0,3,0,0,0,0,3,3,5,48,0
"Mattias Ekholm",D,21,0.25,109,0,1621,19.298,17,0,0,3,20,0,0,0,0,0,3,0.036,0,84,67,1,64,0,0,17,0,68,0,24,0.286,34,7,94,1.119,3,0,0,0,3,0,1.429,28.476,145,1.726,1,0,0,0,2392,0.025,120,1,39,1942.4,23.118,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,1,1,4,180,18,3,1,1,4,0,0,5,173,0,1,5,0.5821,0,1,0,0,0,0,0,0,0,1,0,0
"Max Domi",LW,29,0.492,21,0,816,13.831,22,0,0,8,30,2,0.5,10,5,5,9,0.153,0,59,36,1,28,2,0,15,0,41,0,38,0.644,40,-9,121,2.051,7,0,0,1,8,0,1.831,20.898,1,0.017,0,0,0,0,1233,0.083,108,0,27,980.1,16.595,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,10,40,22,8,1,1,7,1,1,8,49,0,0,9,0.7500,0,0,2,0,0,0,0,1,5,1,38,0
"Max McCormick",RW,0,0,1,0,44,6.286,0,0,0,0,0,0,0.625,24,9,15,0,0,0,7,0,0,13,0,0,0,0,2,0,0,0,0,-3,0,0,0,0,0,0,0,0,1,10.286,0,0,0,0,0,0,72,0,7,0,2,42.24,5.963,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,14,6,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"Max Pacioretty",LW,33,0.398,35,1,1249,15.048,27,0,0,26,53,7,0.54,50,23,27,35,0.422,0,83,47,7,69,0,0,19,0,120,2,68,0.819,38,16,190,2.289,5,0,0,8,13,0,3.373,24.831,47,0.566,1,0,0,1,2061,0.125,280,2,46,1581.03,19.044,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,16,44,120,28,27,7,7,6,9,10,17,104,4,3,22,0.9787,2,4,0,0,1,7,0,5,4,5,68,0
"Melker Karlsson",C,11,0.159,62,0,733,10.623,11,0,0,10,21,1,0.286,7,5,2,12,0.174,0,69,25,2,71,0,0,12,0,33,1,23,0.333,24,8,3,0.043,0,0,0,0,0,1,1.101,20,76,1.101,0,0,0,2,1380,0.158,76,2,17,872.56,12.637,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,15,141,11,12,2,2,0,2,4,4,133,-3,4,4,0.6800,0,2,0,0,0,1,1,1,2,1,23,0
"Michael Bournival",LW,1,0.053,8,0,179,9.421,1,0,0,2,3,0,0.333,3,2,1,2,0.105,0,19,3,0,31,0,0,1,0,14,0,3,0.158,2,-3,1,0.053,0,0,0,0,0,0,1.316,15.105,0,0,0,0,0,0,287,0.08,25,0,6,186.18,9.786,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,1,2,0,0,0,0,0,0,39,-1,0,0,2.0000,0,0,0,0,0,0,0,0,0,0,3,0
"Michael Cammalleri",LW,21,0.344,14,0,877,14.377,12,0,0,9,18,2,0.607,28,11,17,10,0.164,0,61,32,3,44,1,0,8,0,50,1,31,0.508,21,-9,124,2.033,9,0,0,1,10,0,2.328,21.016,1,0.016,0,0,0,0,1282,0.07,142,0,24,1041.76,17.066,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,14,49,12,9,3,3,9,1,1,10,58,6,0,13,0.7500,1,1,1,0,0,3,0,3,4,1,31,0
"Michael Chaput",C,4,0.059,29,0,680,10,4,0,0,4,8,0,0.527,385,182,203,4,0.059,0,68,14,0,68,1,0,12,0,16,0,8,0.118,29,-12,0,0,0,0,0,0,0,0,0.941,16.397,20,0.294,0,0,0,0,1115,0.063,64,0,13,740.5,10.885,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85,4,4,0,0,0,0,0,0,97,21,0,0,0.9286,0,0,1,0,0,0,0,1,0,0,8,0
"Michael Del Zotto",D,12,0.235,85,0,854,16.745,10,0,0,6,16,3,0,1,1,0,6,0.118,0,51,30,0,173,0,0,13,0,40,0,18,0.353,28,-5,32,0.627,1,0,0,0,1,0,1.804,25.765,47,0.922,1,0,0,0,1314,0.065,92,1,9,977.11,19.144,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,6,253,11,6,0,0,2,0,0,3,258,-1,1,2,0.3000,0,1,0,0,0,0,0,0,1,0,0,0
"Michael Ferland",LW,10,0.128,26,0,824,10.564,8,0,0,13,21,3,0.5,8,4,4,15,0.192,0,78,38,1,157,7,0,5,1,41,0,25,0.321,55,-2,22,0.282,2,0,0,2,4,0,1.487,16.987,0,0,0,0,0,0,1325,0.129,116,0,36,891.79,11.429,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,16,181,8,13,1,1,2,2,2,4,183,0,0,5,0.9474,0,0,7,0,0,0,0,0,1,0,25,0
"Michael Frolik",RW,28,0.333,51,0,1120,13.333,21,0,0,12,33,4,0.452,31,17,14,17,0.202,0,84,40,1,62,0,0,23,1,69,1,45,0.536,58,12,69,0.821,5,0,0,3,8,0,2.417,22.738,135,1.607,2,0,0,2,1910,0.084,203,4,46,1425.15,16.958,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,19,125,23,14,1,1,7,5,7,16,113,-3,6,13,1.1500,0,4,0,0,2,4,0,1,3,4,45,0
"Michael Grabner",RW,13,0.167,34,5,929,11.91,11,0,0,28,39,3,0.538,13,6,7,29,0.372,0,78,25,3,44,0,0,5,0,60,0,42,0.538,10,23,0,0,0,0,0,0,0,0,2.128,22.474,97,1.244,2,0,0,1,1753,0.175,166,3,50,1095.08,14.033,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,32,101,13,29,3,3,2,1,2,6,78,1,4,6,2.0000,2,5,0,0,0,0,0,3,4,2,42,0
